Phone Number,Carrier
+2347022715435,Ntel
+2347022383996,Ntel
+2347027208328,Multilinks
+2347024170069,Prestel
+2347022924848,Ntel
+2347025971675,MTN
+2347027601926,Multilinks
+2347025031241,MTN
+2347024185777,Prestel
+2347029825789,Starcomms
+2347025229655,MTN
+2347029874127,Starcomms
+2347022271306,Ntel
+2347025504234,MTN
+2347022162727,Ntel
+2347027932852,Multilinks
+2347028814951,Starcomms
+2347025067618,MTN
+2347025219930,MTN
+2347027711435,Multilinks
+2347022874292,Ntel
+2347024610341,Prestel
+2347026333330,MTN
+2347026290754,MTN
+2347021340392,Ntel
+2347028066333,Starcomms
+2347024088541,Prestel
+2347022221465,Ntel
+2347021568007,Ntel
+2347024355216,Prestel
+2347026333604,MTN
+2347026110805,MTN
+2347021850768,Ntel
+2347025524908,MTN
+2347021403757,Ntel
+2347025511102,MTN
+2347025768429,MTN
+2347027326846,Multilinks
+2347029167187,Starcomms
+2347022002780,Ntel
+2347026332248,MTN
+2347026652117,MTN
+2347026614420,MTN
+2347021739923,Ntel
+2347027317474,Multilinks
